X,Y,fid,VALUE,area,perimeter,subfid,subfull_id,subosm_id,subosm_type,subpower,subname,subentrance,subdoor,subaccess,subtourism,subbarrier,subaccess:delivery,n,distance,feature_x,feature_y,nearest_x,nearest_y,tx_distance,SITE_SCORE,MCDA_SCORE,auxiliary_storage_labeling_show
"-74.9834143896616","41.0718566070367","37","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","26692.0632484555","501393.3438","4546584","514856.66202907","4523536.10849725","7.00916780361111","48.354501198759","24.1772505993795",
"-74.4439238535605","41.0719081407276","38","0","109999.99999994","2000","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","24716.4446765255","546593.3438","4546584","530976.116668022","4527426.62924731","7.00916780361111","52.1770534547831","26.0885267273915",
"-74.8780717576041","41.0708925220546","39","0","30000","800","6",n3901878574,"3901878574",node,,,,,,,gate,,"1","23367.545197272","510293.3438","4546484","515649.802518094","4523738.65941016","7.00916780361111","54.7869898164022","27.3934949082011",
"-74.2714513838683","41.0671526010937","40","1","30000","800","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","21947.4198276779","561293.3438","4546384","570405.055097595","4526417.37899589","7.00916780361111","57.5347385531818","28.7673692765909",
"-74.2702811469544","41.0653435946105","41","1","30000","800","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","21723.9555889618","561393.3438","4546184","570405.055097595","4526417.37899589","7.00916780361111","57.9671113512418","28.9835556756209",
"-74.9798447680593","41.0673519829775","42","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","26109.0091351503","501693.3438","4546084","514856.66202907","4523536.10849725","7.00916780361111","49.482631318543","24.7413156592715",
"-74.9738935121307","41.0673507904817","43","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","25860.5305396136","502193.3438","4546084","514856.66202907","4523536.10849725","7.00916780361111","49.9634034824807","24.9817017412403",
"-74.2489390779213","41.1048889354205","44","0","2410000","48000","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","20411.4831828786","564593.3438","4545984","570405.055097595","4526417.37899589","7.00916780361111","60.5065662987329","30.2532831493664",
"-74.9786550994931","41.0655501456821","45","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","25885.8752560629","501793.3438","4545884","514856.66202907","4523536.10849725","7.00916780361111","49.9143649158172","24.9571824579086",
"-74.9762756333113","41.0628472449036","46","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","25525.9568984039","501993.3438","4545584","514856.66202907","4523536.10849725","7.00916780361111","50.6107578074419","25.3053789037209",
"-74.2680466929442","41.0611256833406","47","1","120000.00000006","2200","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","20962.5845316573","561693.3438","4545484","570405.055097595","4526417.37899589","7.00916780361111","59.440260416614","29.720130208307",
"-74.9750861432057","41.0610453693858","48","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","25302.8191182773","502093.3438","4545384","514856.66202907","4523536.10849725","7.00916780361111","51.0424989526943","25.5212494763471",
"-74.9691354557319","41.0610439312924","49","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","25054.3277120579","502593.3438","4545384","514856.66202907","4523536.10849725","7.00916780361111","51.5232959035546","25.7616479517773",
"-74.2656108539482","41.0572067105888","50","1","30000","800","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","20739.1166539397","561793.3438","4545284","570405.055097595","4526417.37899589","7.00916780361111","59.8726402556454","29.9363201278227",
"-74.9738967179737","41.0592434810394","51","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","25079.6896927643","502193.3438","4545184","514856.66202907","4523536.10849725","7.00916780361111","51.4742239329099","25.737111966455",
"-74.9679461928804","41.0592419815739","52","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","24830.9789749876","502693.3438","4545184","514856.66202907","4523536.10849725","7.00916780361111","51.9554452216964","25.9777226108482",
"-74.8852355514601","41.0582885102233","53","0","30000","800","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22157.8763275893","509693.3438","4545084","514856.66202907","4523536.10849725","7.00916780361111","57.1275339540949","28.5637669770475",
"-74.2644409503229","41.0553976443597","54","1","30000","800","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","20515.6518035513","561893.3438","4545084","570405.055097595","4526417.37899589","7.00916780361111","60.305014237208","30.152507118604",
"-74.2678522852744","41.0709452532328","55","1","579999.999999046","11200","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","20129.6698737291","562393.3438","4544884","570405.055097595","4526417.37899589","7.00916780361111","61.0518365831756","30.5259182915878",
"-74.971517673571","41.0565404791456","56","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","24719.7648227501","502393.3438","4544884","514856.66202907","4523536.10849725","7.00916780361111","52.1706294250531","26.0853147125265",
"-74.2305320045212","41.0572566321969","57","0","280000.00000006","5400","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","19109.1796421306","564793.3438","4544684","570405.055097595","4526417.37899589","7.00916780361111","63.0263458798951","31.5131729399476",
"-74.8864318319317","41.0546864422651","58","0","30000","800","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21793.022594224","509593.3438","4544684","514856.66202907","4523536.10849725","7.00916780361111","57.8334761240107","28.9167380620053",
"-74.9703284267223","41.0547385526019","59","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","24496.6314550626","502493.3438","4544684","514856.66202907","4523536.10849725","7.00916780361111","52.6023620328383","26.3011810164191",
"-74.9631892879207","41.0529348683133","60","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","24024.7750076703","503093.3438","4544484","514856.66202907","4523536.10849725","7.00916780361111","53.5153398480533","26.7576699240267",
"-74.9685444635248","41.0524860456776","61","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","24136.7125029877","502693.3438","4544384","514856.66202907","4523536.10849725","7.00916780361111","53.2987560745765","26.6493780372882",
"-74.9620003330849","41.0511328547974","62","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23801.428400881","503193.3438","4544284","514856.66202907","4523536.10849725","7.00916780361111","53.9474850443923","26.9737425221961",
"-74.261551034015","41.0503175077865","63","1","140000.00000006","2800","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","19530.8136563505","562293.3438","4544184","570405.055097595","4526417.37899589","7.00916780361111","62.2105416172847","31.1052708086423",
"-74.2557790326317","41.0496369492975","64","1","90000","2000","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","19368.1003983615","562693.3438","4544184","570405.055097595","4526417.37899589","7.00916780361111","62.525369560415","31.2626847802075",
"-74.9667606219219","41.0502335102916","65","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23913.5750193268","502793.3438","4544184","514856.66202907","4523536.10849725","7.00916780361111","53.7304966462083","26.8652483231042",
"-74.9608114430661","41.0493308284744","66","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23578.0867263515","503293.3438","4544084","514856.66202907","4523536.10849725","7.00916780361111","54.3796206974819","27.1898103487409",
"-74.9655716182235","41.0484315327564","67","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23690.4463857915","502893.3438","4543984","514856.66202907","4523536.10849725","7.00916780361111","54.1622200940553","27.0811100470276",
"-74.2586024956097","41.0454513951439","68","1","30000","800","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","19307.3481197685","562393.3438","4543984","570405.055097595","4526417.37899589","7.00916780361111","62.6429169265383","31.3214584632692",
"-74.9584332907173","41.0466275521335","69","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23218.5725547907","503493.3438","4543784","514856.66202907","4523536.10849725","7.00916780361111","55.0752315441799","27.5376157720899",
"-74.2574329885652","41.04364225731","70","1","30000","800","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","19083.8858924687","562493.3438","4543784","570405.055097595","4526417.37899589","7.00916780361111","63.0752858327824","31.5376429163912",
"-74.963787987329","41.0461789498362","71","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23330.5205206567","503093.3438","4543684","514856.66202907","4523536.10849725","7.00916780361111","54.8586275116208","27.4293137558104",
"-74.9572445789361","41.044825487673","72","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22995.2232264696","503593.3438","4543584","514856.66202907","4523536.10849725","7.00916780361111","55.5073820063114","27.7536910031557",
"-74.9620044779788","41.0439263384722","73","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23107.3877259606","503193.3438","4543484","514856.66202907","4523536.10849725","7.00916780361111","55.2903590107459","27.645179505373",
"-74.9560559319424","41.0430234104141","74","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22771.8789516424","503693.3438","4543384","514856.66202907","4523536.10849725","7.00916780361111","55.9395226906221","27.9697613453111",
"-74.251696257826","41.0424040808741","75","1","119999.999999881","2600","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","18383.2539610251","563093.3438","4543284","570405.055097595","4526417.37899589","7.00916780361111","64.4309129807728","32.2154564903864",
"-74.9947249643531","41.0416804318452","76","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","24338.1295717893","500493.3438","4543184","514856.66202907","4523536.10849725","7.00916780361111","52.9090415407649","26.4545207703824",
"-74.9602210901544","41.0416736986707","77","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22747.4681080026","503393.3438","4543184","514856.66202907","4523536.10849725","7.00916780361111","55.9867543408771","27.9933771704385",
"-74.9548673497283","41.0412213203593","78","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22548.5398804743","503793.3438","4543184","514856.66202907","4523536.10849725","7.00916780361111","56.3716533065627","28.1858266532814",
"-74.9584378238379","41.0394210304384","79","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22524.3309573822","503493.3438","4542984","514856.66202907","4523536.10849725","7.00916780361111","56.4184942681211","28.2092471340606",
"-74.9518945384179","41.0389680791321","80","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22189.0195490487","503993.3438","4542884","514856.66202907","4523536.10849725","7.00916780361111","57.0672760717582","28.5336380358791",
"-74.9917508861624","41.0385274027369","81","0","80000.0000000596","1800","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23838.1678598328","500793.3438","4542784","514856.66202907","4523536.10849725","7.00916780361111","53.8763992064189","26.9381996032094",
"-74.957249241356","41.0376189638174","82","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22301.2032148665","503593.3438","4542784","514856.66202907","4523536.10849725","7.00916780361111","56.8502159919666","28.4251079959833",
"-74.9513013279764","41.0367157896332","83","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21965.6724982677","504093.3438","4542684","514856.66202907","4523536.10849725","7.00916780361111","57.4994221271606","28.7497110635803",
"-74.2476143731901","41.0351710628181","84","1","90000","2000","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","17621.6835180762","563393.3438","4542584","570405.055097595","4526417.37899589","7.00916780361111","65.9044478301499","32.9522239150749",
"-74.9554661855946","41.0353662481037","85","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21941.276230828","503793.3438","4542484","514856.66202907","4523536.10849725","7.00916780361111","57.5466255744582","28.7733127872291",
"-74.9501129886515","41.0349136486856","86","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21742.330787067","504193.3438","4542484","514856.66202907","4523536.10849725","7.00916780361111","57.931557851204","28.965778925602",
"-73.9645826708141","41.0284714615429","87","0","30000","800","29",n11083612751,"11083612751",node,,,,,,,gate,,"1","21790.8270440481","586993.3438","4542284","582978.988625898","4520866.13138989","7.00916780361111","57.8377242138987","28.9188621069494",
"-74.9536832512906","41.0331135039768","88","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21718.1440825542","503893.3438","4542284","514856.66202907","4523536.10849725","7.00916780361111","57.9783558228442","28.9891779114221",
"-74.9489247140686","41.0331114949532","89","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21518.9945817022","504293.3438","4542284","514856.66202907","4523536.10849725","7.00916780361111","58.3636829222065","29.1818414611032",
"-74.9459524697857","41.0308580975676","90","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21159.4675172617","504493.3438","4541984","514856.66202907","4523536.10849725","7.00916780361111","59.0593187148666","29.5296593574333",
"-74.22318303819","41.0388623968305","91","0","720000.000000536","12600","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","16072.7491250169","565693.3438","4541784","570405.055097595","4526417.37899589","7.00916780361111","68.9014244443341","34.450712222167",
"-74.9513063050373","41.0299596647595","92","0","100000","2000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21135.0869397407","504193.3438","4541784","514856.66202907","4523536.10849725","7.00916780361111","59.1064918043133","29.5532459021567",
"-73.9658283995344","41.0248794578716","93","0","50000","1200","29",n11083612751,"11083612751",node,,,,,,,gate,,"1","21280.9634090821","586893.3438","4541784","582978.988625898","4520866.13138989","7.00916780361111","58.8242407489199","29.41212037446",
"-74.9447643813959","41.029055899772","94","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","20936.1229784108","504593.3438","4541784","514856.66202907","4523536.10849725","7.00916780361111","59.4914599100272","29.7457299550136",
"-74.9441715024109","41.0268035698733","95","0","40000","1000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","20712.784098721","504693.3438","4541584","514856.66202907","4523536.10849725","7.00916780361111","59.9235901554835","29.9617950777418",
"-74.9423891835812","41.0245506480216","96","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","20353.2641835887","504893.3438","4541284","514856.66202907","4523536.10849725","7.00916780361111","60.6192121152083","30.3096060576041",
"-74.9400118577622","41.0227477990849","97","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","20129.9166088695","504993.3438","4541084","514856.66202907","4523536.10849725","7.00916780361111","61.0513591843595","30.5256795921797",
"-74.9388240767339","41.0209455377005","98","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","19906.5748543824","505093.3438","4540884","514856.66202907","4523536.10849725","7.00916780361111","61.4834949921562","30.7417474960781",
"-74.9376363603813","41.0191432635521","99","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","19683.2391182502","505193.3438","4540684","514856.66202907","4523536.10849725","7.00916780361111","61.9156191552575","30.9578095776288",
"-75.0179196467594","41.0187083174417","100","0","79999.9999998808","1800","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23492.200000502","498693.3438","4540584","514856.66202907","4523536.10849725","7.00916780361111","54.5457997880834","27.2728998940417",
"-75.0136245302389","41.0180082670743","101","0","90000.0000001788","2000","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23213.7005155488","498993.3438","4540484","514856.66202907","4523536.10849725","7.00916780361111","55.0846582750579","27.542329137529",
"-74.9364495741796","41.0164401576271","102","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","19323.7118585675","505393.3438","4540384","514856.66202907","4523536.10849725","7.00916780361111","62.6112553256849","31.3056276628424",
"-74.2151457707599","41.0182318373605","103","0","390000.00000006","6400","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","14396.4706065409","566193.3438","4540184","570405.055097595","4526417.37899589","7.00916780361111","72.144794558164","36.072397279082",
"-74.9340727015468","41.0146371839454","104","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","19100.3670055323","505493.3438","4540184","514856.66202907","4523536.10849725","7.00916780361111","63.043397128749","31.5216985643745",
"-74.9328852277069","41.0128348590264","105","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","18877.0283545667","505593.3438","4539984","514856.66202907","4523536.10849725","7.00916780361111","63.4755269316552","31.7377634658276",
"-74.9303786560674","41.0089298178595","106","0","180000","3400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","18070.8189303091","505993.3438","4539284","514856.66202907","4523536.10849725","7.00916780361111","65.0354321164467","32.5177160582234",
"-74.2104626002075","41.006018350511","107","0","230000.00000006","3400","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","13352.4565956316","566493.3438","4539184","570405.055097595","4526417.37899589","7.00916780361111","74.16481915675","37.082409578375",
"-74.9269478335146","41.0047238640108","108","0","60000","1400","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","17847.4837600459","506093.3438","4539084","514856.66202907","4523536.10849725","7.00916780361111","65.4675551846687","32.7337775923344",
"-74.2081795287157","41.000225756835","109","0","60000","1200","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","13036.325489809","566593.3438","4538884","570405.055097595","4526417.37899589","7.00916780361111","74.7764896932247","37.3882448466123",
"-75.0335700268563","40.9994873156678","110","0","30000","800","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","23193.2913618259","497293.3438","4538684","514856.66202907","4523536.10849725","7.00916780361111","55.1241472015722","27.5620736007861",
"-74.9234302372923","40.999767061819","111","0","270000","5200","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","16817.9414207296","506593.3438","4538184","514856.66202907","4523536.10849725","7.00916780361111","67.4595790741696","33.7297895370848",
"-75.0274249452486","40.9952850918976","112","0","100000.000000119","2200","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","22271.3414250367","497993.3438","4538084","514856.66202907","4523536.10849725","7.00916780361111","56.9079944790211","28.4539972395106",
"-74.2059490085354","40.9943942955639","113","0","230000.00000006","3000","25",n10876610854,"10876610854",node,,,,,no,,gate,,"1","11992.3105984407","566893.3438","4537884","570405.055097595","4526417.37899589","7.00916780361111","76.7965159953787","38.3982579976893",
"-75.0185061257686","40.9894315005652","114","0","120000.000000119","2600","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","21208.3542878791","498793.3438","4537384","514856.66202907","4523536.10849725","7.00916780361111","58.9647294869821","29.4823647434911",
"-75.0101833289186","40.9840275745589","115","0","120000.000000119","2600","27",n10927600287,"10927600287",node,,,yes,double,,,,,"1","20286.4037294984","499493.3438","4536784","514856.66202907","4523536.10849725","7.00916780361111","60.7485779671257","30.3742889835629",
